iIndex,lAlignments,lEquations,lSolutions,sQuestion
2,"[58, 91, 119]",['X=((2.0+2.0)-2.0)'],[2.0]," Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with? "
6,"[11, 47, 73]",['X=((16.0+28.0)-25.0)'],[19.0], Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now? 
16,"[57, 91, 120]",['X=((11.0+22.0)-19.0)'],[14.0]," Ned was trying to expand his game collection. He bought 11 games from a friend and bought 22 more at a garage sale. If 19 of the games didn't work, how many good games did he end up with? "
18,"[24, 62, 106]",['X=((32.0+25.0)-7.0)'],[50.0]," At the arcade, Tom won 32 tickets playing 'whack a mole' and 25 tickets playing 'skee ball'. If he spent 7 of his tickets on a hat, how many tickets does Tom have left? "
22,"[58, 92, 120]",['X=((21.0+8.0)-23.0)'],[6.0]," John was trying to expand his game collection. He bought 21 games from a friend and bought 8 more at a garage sale. If 23 of the games didn't work, how many good games did he end up with? "
23,"[11, 47, 73]",['X=((11.0+18.0)-10.0)'],[19.0], Henry had 11 dollars. For his birthday he got 18 more dollars but spent 10 on a new game. How much money does he have now? 
37,"[11, 47, 73]",['X=((29.0+20.0)-34.0)'],[15.0], Roger had 29 dollars. For his birthday he got 20 more dollars but spent 34 on a new game. How much money does he have now? 
39,"[60, 94, 123]",['X=((41.0+14.0)-31.0)'],[24.0]," Edward was trying to expand his game collection. He bought 41 games from a friend and bought 14 more at a garage sale. If 31 of the games didn't work, how many good games did he end up with? "
40,"[37, 60, 81]",['X=((13.0+17.0)-15.0)'],[15.0]," At the schools book fair Sam bought 13 adventure books and 17 mystery books. If 15 of the books were used, how many new books did he buy? "
42,"[12, 48, 74]",['X=((35.0+50.0)-84.0)'],[1.0], Oliver had 35 dollars. For his birthday he got 50 more dollars but spent 84 on a new game. How much money does he have now? 
50,"[37, 60, 81]",['X=((13.0+17.0)-15.0)'],[15.0]," At the schools book fair Sam bought 13 adventure books and 17 mystery books. If 15 of the books were used, how many new books did he buy? "
52,"[12, 48, 74]",['X=((35.0+50.0)-84.0)'],[1.0], Oliver had 35 dollars. For his birthday he got 50 more dollars but spent 84 on a new game. How much money does he have now? 
64,"[68, 117, 148]",['X=((2.0+27.0)-5.0)'],[24.0]," Edward started his own lawn mowing business. In the spring he made 2 dollars mowing lawns and in the summer he made 27 dollars. If he had to spend 5 dollars buying supplies, how much money did he end up with? "
67,"[12, 48, 74]",['X=((30.0+16.0)-38.0)'],[8.0], George had 30 dollars. For his birthday he got 16 more dollars but spent 38 on a new game. How much money does he have now? 
70,"[40, 63, 84]",['X=((32.0+37.0)-16.0)'],[53.0]," At the schools book fair Victor bought 32 adventure books and 37 mystery books. If 16 of the books were used, how many new books did he buy? "
79,"[67, 116, 147]",['X=((4.0+50.0)-4.0)'],[50.0]," Kaleb started his own lawn mowing business. In the spring he made 4 dollars mowing lawns and in the summer he made 50 dollars. If he had to spend 4 dollars buying supplies, how much money did he end up with? "
95,"[57, 91, 120]",['X=((50.0+27.0)-74.0)'],[3.0]," Ned was trying to expand his game collection. He bought 50 games from a friend and bought 27 more at a garage sale. If 74 of the games didn't work, how many good games did he end up with? "
98,"[26, 64, 108]",['X=((29.0+17.0)-12.0)'],[34.0]," At the arcade, Jerry won 29 tickets playing 'whack a mole' and 17 tickets playing 'skee ball'. If he spent 12 of his tickets on a hat, how many tickets does Jerry have left? "
99,"[10, 46, 71]",['X=((45.0+9.0)-19.0)'],[35.0], Cody had 45 dollars. For his birthday he got 9 more dollars but spent 19 on a new game. How much money does he have now? 
102,"[11, 79, 32]",['X=((34.0+7.0)-17.0)'],[24.0]," Kaleb had 34 books. If he sold 17 of them and used the money he earned to buy 7 new books, how many books would Kaleb have? "
104,"[12, 86, 57]",['X=((33.0+32.0)-4.0)'],[61.0]," Oliver had 33 dollars in January. By March he had spent 4 dollars. If he got another 32 dollars from his mom, how much money would he have? "
117,"[10, 79, 44]",['X=((5.0+5.0)-2.0)'],[8.0]," Adam had 5 dollars. At the store he spent $2 on a new game. If he got another 5 dollars for his allowance, how much money does he have now? "
128,"[24, 85, 48]",['X=((49.0+6.0)-25.0)'],[30.0]," At the arcade Cody won 49 tickets. If he spent 25 tickets on a beanie and later won 6 more tickets, how many would he have? "
132,"[25, 84, 48]",['X=((4.0+47.0)-2.0)'],[49.0]," At the arcade Jerry won 4 tickets. If he spent 2 tickets on a beanie and later won 47 more tickets, how many would he have? "
134,"[10, 78, 31]",['X=((33.0+23.0)-11.0)'],[45.0]," Adam had 33 books. If he sold 11 of them and used the money he earned to buy 23 new books, how many books would Adam have? "
143,"[12, 80, 33]",['X=((43.0+14.0)-19.0)'],[38.0]," Edward had 43 books. If he sold 19 of them and used the money he earned to buy 14 new books, how many books would Edward have? "
148,"[26, 87, 50]",['X=((46.0+39.0)-27.0)'],[58.0]," At the arcade Victor won 46 tickets. If he spent 27 tickets on a beanie and later won 39 more tickets, how many would he have? "
155,"[24, 85, 48]",['X=((25.0+15.0)-22.0)'],[18.0]," At the arcade Dave won 25 tickets. If he spent 22 tickets on a beanie and later won 15 more tickets, how many would he have? "
