target,id,question,question_concept,input,input_choices
A,a7ab086045575bb497933726e4e6ad28,"{'question_concept': 'people', 'choices': [{'label': 'A', 'text': 'complete job'}, {'label': 'B', 'text': 'learn from each other'}, {'label': 'C', 'text': 'kill animals'}, {'label': 'D', 'text': 'wear hats'}, {'label': 'E', 'text': 'talk to each other'}], 'stem': 'What do people aim to do at work?'}",people,What do people aim to do at work?,"A: complete job, B: learn from each other, C: kill animals, D: wear hats, E: talk to each other"
D,05ea49b82e8ec519e82d6633936ab8bf,"{'question_concept': 'animals', 'choices': [{'label': 'A', 'text': 'feel pleasure'}, {'label': 'B', 'text': 'procreate'}, {'label': 'C', 'text': 'pass water'}, {'label': 'D', 'text': 'listen to each other'}, {'label': 'E', 'text': 'sing'}], 'stem': 'What do animals do when an enemy is approaching?'}",animals,What do animals do when an enemy is approaching?,"A: feel pleasure, B: procreate, C: pass water, D: listen to each other, E: sing"
A,c0c07ce781653b2a2c01871ba2bcba93,"{'question_concept': 'reading newspaper', 'choices': [{'label': 'A', 'text': 'literacy'}, {'label': 'B', 'text': 'knowing how to read'}, {'label': 'C', 'text': 'money'}, {'label': 'D', 'text': 'buying'}, {'label': 'E', 'text': 'money bank'}], 'stem': 'Reading newspaper one of many ways to practice your what?'}",reading newspaper,Reading newspaper one of many ways to practice your what?,"A: literacy, B: knowing how to read, C: money, D: buying, E: money bank"
C,1d24f406b6828492040b405d3f35119c,"{'question_concept': 'playing guitar', 'choices': [{'label': 'A', 'text': 'cry'}, {'label': 'B', 'text': 'hear sounds'}, {'label': 'C', 'text': 'singing'}, {'label': 'D', 'text': 'arthritis'}, {'label': 'E', 'text': 'making music'}], 'stem': 'What do people typically do while playing guitar?'}",playing guitar,What do people typically do while playing guitar?,"A: cry, B: hear sounds, C: singing, D: arthritis, E: making music"
D,81eb4b2ee66edd8bc91ee944697c4e9f,"{'question_concept': 'something you', 'choices': [{'label': 'A', 'text': 'take time'}, {'label': 'B', 'text': 'make noise'}, {'label': 'C', 'text': 'make war'}, {'label': 'D', 'text': 'make peace'}, {'label': 'E', 'text': 'make haste'}], 'stem': 'If you want harmony, what is something you should try to do with the world?'}",something you,"If you want harmony, what is something you should try to do with the world?","A: take time, B: make noise, C: make war, D: make peace, E: make haste"
C,fc1d33a2301a30214523c12573f81aba,"{'question_concept': 'watching film', 'choices': [{'label': 'A', 'text': 'erection'}, {'label': 'B', 'text': 'laughter'}, {'label': 'C', 'text': 'being entertained'}, {'label': 'D', 'text': 'fear'}, {'label': 'E', 'text': 'bordem'}], 'stem': 'Janet was watching the film because she liked what?'}",watching film,Janet was watching the film because she liked what?,"A: erection, B: laughter, C: being entertained, D: fear, E: bordem"
D,c5c4166f2ed3c2b3517b79e6848e9ae2,"{'question_concept': 'booze', 'choices': [{'label': 'A', 'text': 'reach tentative agreement'}, {'label': 'B', 'text': 'stay in bed'}, {'label': 'C', 'text': 'stop bicycle'}, {'label': 'D', 'text': 'examine thing'}, {'label': 'E', 'text': 'suicide'}], 'stem': 'When drinking booze what can you do to stay busy?'}",booze,When drinking booze what can you do to stay busy?,"A: reach tentative agreement, B: stay in bed, C: stop bicycle, D: examine thing, E: suicide"
E,6dc5b2884737e66543ce65f8dc40c992,"{'question_concept': 'fencing', 'choices': [{'label': 'A', 'text': 'injury'}, {'label': 'B', 'text': 'small cuts'}, {'label': 'C', 'text': 'fever'}, {'label': 'D', 'text': 'competition'}, {'label': 'E', 'text': 'puncture wound'}], 'stem': 'A fencing thrust with a sharp sword towards a person would result in what?'}",fencing,A fencing thrust with a sharp sword towards a person would result in what?,"A: injury, B: small cuts, C: fever, D: competition, E: puncture wound"
E,8af63d58cc35061dec38e5448c325988,"{'question_concept': 'people', 'choices': [{'label': 'A', 'text': 'tongues'}, {'label': 'B', 'text': 'names'}, {'label': 'C', 'text': 'brains'}, {'label': 'D', 'text': 'feelings'}, {'label': 'E', 'text': 'two eyes'}], 'stem': 'Unlike a spider and his many sight seers, people only have what?'}",people,"Unlike a spider and his many sight seers, people only have what?","A: tongues, B: names, C: brains, D: feelings, E: two eyes"
C,8d79cc5e4eea11f50fab18fdea20fd4f,"{'question_concept': 'sitting quietly', 'choices': [{'label': 'A', 'text': 'sadness'}, {'label': 'B', 'text': 'anxiety'}, {'label': 'C', 'text': 'inspiration'}, {'label': 'D', 'text': 'discomfort'}, {'label': 'E', 'text': 'insights'}], 'stem': 'The artist was sitting quietly pondering, then suddenly he began to paint when what struck him?'}",sitting quietly,"The artist was sitting quietly pondering, then suddenly he began to paint when what struck him?","A: sadness, B: anxiety, C: inspiration, D: discomfort, E: insights"
D,e5ad2184e37ae88b2bf46bf6bc0ed2f4,"{'question_concept': 'fragile', 'choices': [{'label': 'A', 'text': 'indestructible'}, {'label': 'B', 'text': 'durable'}, {'label': 'C', 'text': 'undestroyable'}, {'label': 'D', 'text': 'indestructible'}, {'label': 'E', 'text': 'unbreakable'}], 'stem': ""Though the thin film seemed fragile, for it's intended purpose it was actually nearly what?""}",fragile,"Though the thin film seemed fragile, for it's intended purpose it was actually nearly what?","A: indestructible, B: durable, C: undestroyable, D: indestructible, E: unbreakable"
E,f646f3e064f06423fc25b98500796cf0,"{'question_concept': 'clever', 'choices': [{'label': 'A', 'text': 'clumsy'}, {'label': 'B', 'text': 'ineffectual'}, {'label': 'C', 'text': 'dull'}, {'label': 'D', 'text': 'clumsy'}, {'label': 'E', 'text': 'stupid'}], 'stem': ""What is someone who isn't clever, bright, or competent called?""}",clever,"What is someone who isn't clever, bright, or competent called?","A: clumsy, B: ineffectual, C: dull, D: clumsy, E: stupid"
A,65435b996ce9d1685bebb74b49c1ba7f,"{'question_concept': 'reading', 'choices': [{'label': 'A', 'text': 'new perspective'}, {'label': 'B', 'text': 'entertained'}, {'label': 'C', 'text': 'understanding'}, {'label': 'D', 'text': 'hunger'}, {'label': 'E', 'text': 'tired eyes'}], 'stem': 'Blue read material outside of his comfort zone because he wanted to gain what?'}",reading,Blue read material outside of his comfort zone because he wanted to gain what?,"A: new perspective, B: entertained, C: understanding, D: hunger, E: tired eyes"
B,9889e5389917d812c09d6e5d382d333d,"{'question_concept': 'success', 'choices': [{'label': 'A', 'text': 'vocation'}, {'label': 'B', 'text': 'new job'}, {'label': 'C', 'text': 'michigan'}, {'label': 'D', 'text': 'working hard'}, {'label': 'E', 'text': 'manual'}], 'stem': 'After he got hired he hoped for success at his what?'}",success,After he got hired he hoped for success at his what?,"A: vocation, B: new job, C: michigan, D: working hard, E: manual"
