input,target
"Take the last letters of each words in ""Whitney Erika Tj Benito"" and concatenate them.",yajo
"Take the last letters of each words in ""Jorge Natalia Bryant Kiran"" and concatenate them.",eatn
"Take the last letters of each words in ""Yan Eunice Joseph Hugh"" and concatenate them.",nehh
"Take the last letters of each words in ""Melody Ramiro Humberto Jacob"" and concatenate them.",yoob
"Take the last letters of each words in ""Domingo Briana Michael Joan"" and concatenate them.",oaln
"Take the last letters of each words in ""Morgan Perla Joao Marta"" and concatenate them.",naoa
"Take the last letters of each words in ""Emiliano Jasmin Wade Vilma"" and concatenate them.",onea
"Take the last letters of each words in ""Lino Mariel Aditya Elisabeth"" and concatenate them.",olah
"Take the last letters of each words in ""Mauricio Lee Madi Lizzie"" and concatenate them.",oeie
"Take the last letters of each words in ""Ruben Bernardo Ariel Shelley"" and concatenate them.",noly
"Take the last letters of each words in ""Phillip Ajay Janie Augusto"" and concatenate them.",pyeo
"Take the last letters of each words in ""Geo Kody Isaias Giovanni"" and concatenate them.",oysi
"Take the last letters of each words in ""Gavin Neha Asha Baltazar"" and concatenate them.",naar
"Take the last letters of each words in ""Meg Andrey Gerard Lilia"" and concatenate them.",gyda
"Take the last letters of each words in ""Cheri Rico Teo Jesus"" and concatenate them.",ioos
"Take the last letters of each words in ""Pretty Jada Sarita Allen"" and concatenate them.",yaan
"Take the last letters of each words in ""Lazaro Ana Charlotte Precious"" and concatenate them.",oaes
"Take the last letters of each words in ""Imelda Andi Mack Rigoberto"" and concatenate them.",aiko
"Take the last letters of each words in ""Vicente Dayana Kasey Lin"" and concatenate them.",eayn
"Take the last letters of each words in ""Rubi Daisy Yadira Santa"" and concatenate them.",iyaa
"Take the last letters of each words in ""Ira Paola Jose Antonio Maria"" and concatenate them.",aaoa
"Take the last letters of each words in ""Manish Lu Karl Don"" and concatenate them.",huln
"Take the last letters of each words in ""Meagan Naomi Israel Marie"" and concatenate them.",nile
"Take the last letters of each words in ""Tristan Marleny Santiago Viviana"" and concatenate them.",nyoa
"Take the last letters of each words in ""Amparo Gianna Dion Tessa"" and concatenate them.",oana
"Take the last letters of each words in ""Lewis Azucena Kai Ravi"" and concatenate them.",saii
"Take the last letters of each words in ""Issa Kendra Ignacio Henry"" and concatenate them.",aaoy
"Take the last letters of each words in ""Faustino Lamar Fransisco Rina"" and concatenate them.",oroa
"Take the last letters of each words in ""Chantal Ines Valeria Francesca"" and concatenate them.",lsaa
"Take the last letters of each words in ""Tomas Nic Zoila Calvin"" and concatenate them.",scan
"Take the last letters of each words in ""Alec Arianna Corina Juancarlos"" and concatenate them.",caas
"Take the last letters of each words in ""Ralph Jeanne Kyle Alejandro"" and concatenate them.",heeo
"Take the last letters of each words in ""Matilde Jan Marcel Mimi"" and concatenate them.",enli
"Take the last letters of each words in ""Manolo Bobbie Ash Jaqueline"" and concatenate them.",oehe
"Take the last letters of each words in ""Jorge Luis Mo Alexia Jerry"" and concatenate them.",soay
"Take the last letters of each words in ""Charity Svetlana Jamie Jose A"" and concatenate them.",yaeA
"Take the last letters of each words in ""Donny Lucero Christopher Gregory"" and concatenate them.",yory
"Take the last letters of each words in ""Jesús Vidal Maxine Gloria"" and concatenate them.",slea
"Take the last letters of each words in ""Guillermina Evelin Dominique Johnny"" and concatenate them.",aney
"Take the last letters of each words in ""Kristi Eduardo Angelo Clare"" and concatenate them.",iooe
"Take the last letters of each words in ""Leticia Jacinto Natasha Raphael"" and concatenate them.",aoal
"Take the last letters of each words in ""Daniella Dianne Ram Mirian"" and concatenate them.",aemn
"Take the last letters of each words in ""Glenda Beverly Agustin Igor"" and concatenate them.",aynr
"Take the last letters of each words in ""Cristian Nik Gwen Josiah"" and concatenate them.",nknh
"Take the last letters of each words in ""Emilia Jonas Christi Sophia"" and concatenate them.",asia
"Take the last letters of each words in ""Abdi Clyde Ana Maria Pepe"" and concatenate them.",ieae
"Take the last letters of each words in ""Steph Pablo Ceci Francine"" and concatenate them.",hoie
"Take the last letters of each words in ""Rogelio Freddy Ivan Madeleine"" and concatenate them.",oyne
"Take the last letters of each words in ""Kyra Luciano Ciara Bryan"" and concatenate them.",aoan
"Take the last letters of each words in ""Myriam José Cecy Faisal"" and concatenate them.",méyl
"Take the last letters of each words in ""Talia Nicki Tia Divya"" and concatenate them.",aiaa
"Take the last letters of each words in ""Erwin Chad Margarito Shanna"" and concatenate them.",ndoa
"Take the last letters of each words in ""Fernanda Magda Elmer Alvaro"" and concatenate them.",aaro
"Take the last letters of each words in ""Anand Estefania Stanley Lizette"" and concatenate them.",daye
"Take the last letters of each words in ""Sunil Tiana Darla Darnell"" and concatenate them.",laal
"Take the last letters of each words in ""Eugenio Moises Marion Kirk"" and concatenate them.",osnk
"Take the last letters of each words in ""Sherri Genesis Jeffrey Samir"" and concatenate them.",isyr
"Take the last letters of each words in ""Hilario Magdalena Morris Patricio"" and concatenate them.",oaso
"Take the last letters of each words in ""Fausto Tito Jade Terrance"" and concatenate them.",ooee
"Take the last letters of each words in ""Debi Raymond Luis Federico"" and concatenate them.",idso
"Take the last letters of each words in ""Juan Jose Dalia Destiny Amelia"" and concatenate them.",eaya
"Take the last letters of each words in ""Jose Luis Kiara Arun Josefina"" and concatenate them.",sana
"Take the last letters of each words in ""Sophie Gregorio Avery Pooja"" and concatenate them.",eoya
"Take the last letters of each words in ""Gabi Dante Rafa Tricia"" and concatenate them.",ieaa
"Take the last letters of each words in ""Diego Val Vincent Stacie"" and concatenate them.",olte
